strain	sex	age	n	mean	se	barcolors	btwnspace
C57BL/6J	female	30	14	20.68696721	2.762314754	"#0097FFFF"	1.6
BALB/cJ	female	30	26	30.90583607	1.43870459	"#FF9F00FF"	0
C57BL/6J	male	30	16	24.64139344	2.41294918	"#0097FFFF"	0.8
BALB/cJ	male	30	26	26.72340984	2.213880328	"#FF9F00FF"	0
C57BL/6J	female	41	8	27.86885246	6.055121311	"#0097FFFF"	1.6
BALB/cJ	female	41	4	45.69672131	4.211219672	"#FF9F00FF"	0
C57BL/6J	male	41	10	21.39344262	4.066267213	"#0097FFFF"	0.8
BALB/cJ	male	41	6	38.93442623	3.357988525	"#FF9F00FF"	0
C57BL/6J	female	69	10	22.21311475	4.421588525	"#0097FFFF"	1.6
BALB/cJ	female	69	8	54.61065574	1.158544426	"#FF9F00FF"	0
C57BL/6J	male	69	12	22.06283607	2.825877049	"#0097FFFF"	0.8
BALB/cJ	male	69	10	43.93442623	3.196137705	"#FF9F00FF"	0
